id,name,glass,base_spirit,abv,tags,contains,sweet,bitter,sour,boozy,fizzy,description,recipe,zero_proof_swap,image_key
34,Vodka Soda,highball,vodka,10,fizzy|simple|light|clean,,0,0,1,4,10,"Light, clean, and minimal—lets your garnish shine.","Vodka, soda water, lime; build over ice.",Soda water + lime + a splash of cucumber water.,vodka_soda
35,Espresso Martini,coupe,vodka,20,coffee|dessert|rich|energizing,,6,3,1,8,0,Coffee-rich and silky with a sweet edge.,"Vodka, espresso, coffee liqueur; shake hard; strain.",Espresso + vanilla syrup + cold brew concentrate; shake with ice.,espresso_martini
36,White Russian,rocks,vodka,18,creamy|coffee|dessert|sweet,dairy,8,1,0,6,0,Creamy coffee dessert cocktail.,"Vodka, coffee liqueur, cream; build over ice.",Cold brew + vanilla syrup + oat milk; build over ice.,white_russian
37,Cosmopolitan,coupe,vodka,16,citrus|fruity|classic|pink,citrus,6,1,5,6,0,Tart cranberry-citrus with a clean finish.,"Vodka, cranberry, lime, orange liqueur; shake; strain.",Cranberry + lime + orange syrup; shake; strain.,cosmopolitan
38,Lemon Drop,coupe,vodka,18,sour|citrus|sweet|party,citrus,7,0,5,6,0,Sweet-tart lemon candy vibes.,"Vodka, lemon, simple syrup; shake; sugar rim.",Lemon + simple; shake; sugar rim.,lemon_drop
39,Sex on the Beach,highball,vodka,12,fruity|sweet|party|tropical,citrus,8,0,2,4,2,Fruity and sweet with peach and cranberry.,"Vodka, peach schnapps, orange juice, cranberry; build over ice.",Peach syrup + orange + cranberry; build over ice.,sex_on_the_beach
40,Bloody Mary,highball,vodka,12,savory|spiced|brunch|bold,,2,3,2,4,0,"Savory, spicy, and brunch-ready.","Vodka, tomato juice, lemon, Worcestershire, hot sauce, spices; stir.",Tomato juice + lemon + spices + pickle brine; stir.,bloody_mary
41,Sangria,wine_glass,wine,10,fruity|citrus|party|refreshing,citrus,6,1,3,3,3,Fruit-forward and easy for sharing.,"Red wine, brandy, citrus, fruit, sweetener; chill; serve over ice.",Grape juice + citrus + fruit + soda; chill; serve over ice.,sangria
42,Mimosa,flute,wine,8,fizzy|brunch|citrus|light,citrus,5,0,2,2,10,"Light, bubbly, and brunch-friendly.",Sparkling wine + orange juice; build in flute.,NA bubbly + orange juice; build in flute.,mimosa
43,Bellini,flute,wine,8,fizzy|fruity|light|brunch,,6,0,1,2,10,Sparkling peach and soft sweetness.,Prosecco + peach purée; build in flute.,Sparkling water + peach purée; build in flute.,bellini
44,Michelada,highball,beer,6,savory|spiced|brunch|fizzy,,2,2,2,1,10,"Savory, spicy beer cocktail with lots of zing.","Beer, lime, hot sauce, Worcestershire, spices; build over ice; salt rim.",NA beer + lime + spices; build.,michelada
45,Shandy,highball,beer,4,fizzy|light|citrus|refreshing,citrus,4,1,2,1,10,"Low-ABV, fizzy, and super refreshing.",Beer + lemonade; build over ice.,Sparkling water + lemonade; build over ice.,shandy
46,Arnold Palmer,highball,none,0,non_alcoholic|tea|citrus|refreshing,citrus,4,1,2,0,2,"Half iced tea, half lemonade—classic and easy.",Iced tea + lemonade; build over ice.,Same drink—already zero-proof.,arnold_palmer
47,Virgin Mojito,highball,none,0,non_alcoholic|mint|fizzy|citrus,citrus,5,0,3,0,9,All the mint-lime sparkle without alcohol.,"Mint, lime, sugar; top with soda; build over ice.",Same drink—already zero-proof.,virgin_mojito
48,Shirley Temple,highball,none,0,non_alcoholic|sweet|fizzy|fruity,,7,0,1,0,9,"Sweet, fizzy, and nostalgic.",Ginger ale (or lemon-lime soda) + grenadine; build over ice; cherry.,Same drink—already zero-proof.,shirley_temple
49,Virgin Piña Colada,highball,none,0,non_alcoholic|creamy|tropical|sweet,dairy,8,0,1,0,0,Creamy tropical dessert without the booze.,Pineapple juice + coconut cream; blend with ice.,Same drink—already zero-proof.,virgin_pina_colada
50,Espresso Tonic,highball,none,0,non_alcoholic|coffee|bitter|fizzy,,2,4,1,0,9,Bubbly coffee bitterness with a crisp finish.,Tonic water + chilled espresso; pour espresso over ice and tonic.,Same drink—already zero-proof.,espresso_tonic
51,Light Lager (Lite Beer),pint,beer,4.2,light|crisp|easy-drinking|low-abv|refreshing,gluten,1,2,1,2,8,Clean and super easy-drinking; great when you want something mild and cold.,Serve 12–16 oz very cold in a pint glass.,Non-alcoholic light lager,light_lager
52,Pilsner,pilsner,beer,5,crisp|hoppy|clean|refreshing,gluten,1,4,2,3,8,Snappy bitterness with a crisp finish; classic “refreshing beer” profile.,Serve 12 oz in a chilled pilsner glass.,Non-alcoholic pilsner,pilsner
53,Helles Lager,pint,beer,5.2,malty|smooth|balanced|easy-drinking,gluten,2,2,1,3,7,Smooth and slightly bready; less bitter than a pilsner.,Serve 12–16 oz in a pint glass.,Non-alcoholic lager,helles
54,Wheat Beer (Hefeweizen),weizen,beer,5.1,fruity|soft|banana|clove|easy-drinking,gluten,3,2,2,3,7,Soft and lightly fruity; low bitterness and very drinkable.,Serve 12 oz in a weizen glass.,Non-alcoholic wheat beer,hefeweizen
55,Belgian Saison,tulip,beer,6.5,dry|peppery|complex|farmhouse,gluten,1,4,3,4,7,Dry and peppery with a bright finish; feels “fancy” without being sweet.,Serve 10–12 oz in a tulip glass.,Non-alcoholic saison,saison
56,Pale Ale,pint,beer,5.6,hoppy|balanced|citrusy|classic,gluten|citrus,2,5,3,4,7,Hoppy but balanced; a gateway between pilsner and IPA.,Serve 12–16 oz in a pint glass.,Non-alcoholic pale ale,pale_ale
57,IPA (American),pint,beer,6.8,hoppy|bitter|citrusy|bold,gluten|citrus,2,8,3,5,7,Bold hops and bitterness; best if you want “bitter + strong beer.”,Serve 12–16 oz in a pint glass.,Non-alcoholic IPA,ipa
58,Double IPA,pint,beer,8.5,hoppy|very-bitter|strong|bold,gluten|citrus,2,9,3,7,7,Big hops and higher ABV; intense bitterness and punch.,Serve 12 oz in a pint glass.,Non-alcoholic double-IPA style,double_ipa
59,West Coast IPA,pint,beer,7.2,resinous|dry|bitter|crisp,gluten|citrus,1,9,3,6,7,Very dry and bitter with a crisp finish; “piney” vibe.,Serve 12–16 oz in a pint glass.,Non-alcoholic West Coast IPA,west_coast_ipa
60,New England IPA (Hazy IPA),pint,beer,6.5,juicy|hazy|tropical|soft-bitter,gluten|citrus,4,6,2,5,7,Juicy and aromatic; less sharp bitterness than West Coast.,Serve 12–16 oz in a pint glass.,Non-alcoholic hazy IPA,hazy_ipa
61,Stout,imperial,beer,6,roasty|coffee|chocolate|rich,gluten,2,4,1,5,3,Roasty and rich with lower carbonation; dessert-adjacent without being sweet.,Serve 10–12 oz in an imperial pint.,Non-alcoholic stout,stout
62,Porter,imperial,beer,5.8,roasty|chocolate|smooth|medium-body,gluten,2,4,1,4,3,Smoother roast than stout; cozy and balanced.,Serve 10–12 oz in an imperial pint.,Non-alcoholic porter,porter
63,Hard Seltzer,highball,beer,5,light|crisp|clean|low-cal|refreshing,carbonated,1,1,2,3,9,Super light and fizzy; minimal flavor—great “I want something easy.”,Serve over ice with a lime wedge (optional).,Non-alcoholic seltzer,hard_seltzer
64,Cider (Dry),pint,beer,5.5,crisp|apple|dry|refreshing,carbonated,3,1,3,3,8,Apple-forward and crisp; can read sweet but finishes fairly dry.,Serve 12–16 oz in a pint glass.,Non-alcoholic cider,dry_cider
65,Cider (Sweet),pint,beer,5.5,apple|sweet|fruity|easy-drinking,carbonated,7,1,2,3,8,Sweeter apple profile; best if you want fruit + fizz.,Serve 12–16 oz in a pint glass.,Non-alcoholic sweet cider,sweet_cider
66,Sparkling Wine (Brut),flute,wine,12,crisp|bubbly|dry|celebratory,carbonated,2,2,3,5,9,Dry bubbles; bright and refreshing—great alternative to cocktails.,Serve 5–6 oz well chilled in a flute.,Sparkling grape juice (brut style),brut
67,Prosecco,flute,wine,11,bubbly|fruity|light|easy-drinking,carbonated,4,1,2,4,9,Light bubbles with a slightly fruitier profile than brut.,Serve 5–6 oz chilled in a flute.,Sparkling white grape juice,prosecco
68,Rosé,white_wine,wine,12.5,fruity|refreshing|summery|dry-ish,none,4,1,2,5,1,Crisp and fruity; perfect “patio drink.”,Serve 5–6 oz chilled.,Non-alcoholic rosé,rose
69,Sauvignon Blanc,white_wine,wine,12.5,crisp|citrusy|herbal|bright,citrus,2,2,5,5,1,Bright acidity and a crisp finish; great if you like sour/tart.,Serve 5–6 oz chilled.,Non-alcoholic Sauvignon Blanc,sauv_blanc
70,Riesling (Off-Dry),white_wine,wine,11.5,fruity|aromatic|semi-sweet|bright,none,6,1,4,4,1,Semi-sweet with good acidity—sweet + bright balance.,Serve 5–6 oz chilled.,Non-alcoholic Riesling,riesling
71,Moscato,white_wine,wine,8,sweet|fruity|light|dessert-like,none,9,1,2,3,2,Very sweet and light; crowd-pleaser if you want “sweet and easy.”,Serve 5–6 oz chilled.,Non-alcoholic Moscato,moscato
72,Pinot Noir,red_wine,wine,13.5,light-red|smooth|fruity|easy,none,3,3,2,6,0,Lighter red with smooth tannins; approachable and not too heavy.,Serve 5–6 oz slightly cool.,Non-alcoholic Pinot Noir,pinot_noir
73,Cabernet Sauvignon,red_wine,wine,14,bold|tannic|dry|rich,none,2,6,1,7,0,Bold and tannic; great if you like bitter/boozy intensity.,Serve 5–6 oz at cellar temp.,Non-alcoholic Cabernet,cabernet
74,Red Sangria,sangria,wine,10.5,fruity|party|sweet-leaning|refreshing,citrus,7,1,3,5,3,Fruity and fun; typically sweeter and easy to sip.,Red wine + chopped fruit + splash of soda (serve over ice).,Fruit punch + sparkling water,sangria
75,Aperol Spritz (Wine-Based),wine_glass,wine,11,spritz|bubbly|bitter-sweet|refreshing,carbonated|citrus,4,5,3,4,9,Bittersweet bubbly spritz vibe; perfect for “light + fizzy + adult.”,3 parts prosecco + 2 parts Aperol + 1 part soda over ice.,Non-alcoholic aperitif + sparkling water,aperol_spritz
